filename,length_to_width_ratio,n_strokes_detected,orientation_hist_0,orientation_hist_1,orientation_hist_10,orientation_hist_11,orientation_hist_2,orientation_hist_3,orientation_hist_4,orientation_hist_5,orientation_hist_6,orientation_hist_7,orientation_hist_8,orientation_hist_9,stroke_curvature_mean,stroke_curvature_std,stroke_length_mean,stroke_length_std,stroke_width_mean,stroke_width_std
rembrandt_rijks_200107930.png,4.514894,779,0.013333,0.003404,0.000567,0.0,0.001418,0.003688,0.002553,0.003121,0.019007,0.005674,0.006525,0.007376,0.523964,0.272381,9.029787,5.933243,2.0,0.0
rembrandt_rijks_200107931.jpg,5.131845,1178,0.005399,0.00446,0.0,0.0,0.003521,0.005869,0.006103,0.006573,0.023709,0.007042,0.001878,0.002113,0.640856,0.230005,10.264085,9.427483,2.000077,0.001291
rembrandt_rijks_200107931.png,5.142397,1208,0.005535,0.004573,0.0,0.0,0.004573,0.005535,0.006017,0.006498,0.022383,0.00722,0.002407,0.001925,0.624182,0.234776,10.285199,8.04331,2.000079,0.001308
rembrandt_rijks_200107934.jpg,7.650592,829,0.008,0.005067,0.000267,0.0,0.005067,0.004533,0.005867,0.004533,0.013333,0.009067,0.006133,0.0048,0.584016,0.265575,15.304,41.601005,2.000368,0.00581
rembrandt_rijks_200107934.png,7.821004,817,0.007465,0.003861,0.0,0.0,0.004891,0.005663,0.004633,0.004633,0.014672,0.010553,0.005663,0.004633,0.610058,0.259083,15.644788,42.810678,2.000355,0.005708
rembrandt_rijks_200107935.jpg,4.758065,2391,0.00908,0.004779,0.0,0.0,0.002867,0.005018,0.00693,0.005735,0.021505,0.005735,0.002389,0.002628,0.543268,0.27541,9.516129,8.673215,2.0,0.0
rembrandt_rijks_200107935.png,4.750903,2400,0.010108,0.005054,0.0,0.0,0.002647,0.004813,0.00698,0.006017,0.020217,0.005776,0.002407,0.002647,0.545338,0.276399,9.501805,8.59755,2.0,0.0
rembrandt_rijks_200107936.jpg,4.218147,514,0.008752,0.002059,0.001544,0.0,0.004376,0.003346,0.004118,0.003089,0.018275,0.005663,0.005148,0.010296,0.459353,0.252916,8.436293,5.435369,2.0,0.0
rembrandt_rijks_200107936.png,4.542146,502,0.006641,0.004598,0.000766,0.000255,0.00281,0.004598,0.004342,0.003065,0.016092,0.006641,0.005619,0.011239,0.464811,0.245696,9.084291,6.403467,2.0,0.0
rembrandt_rijks_200107941.jpg,6.201299,424,0.008369,0.00202,0.000866,0.0,0.00404,0.007792,0.006061,0.003752,0.020202,0.006926,0.004329,0.002309,0.558522,0.272626,12.402597,29.21732,2.0,0.0
rembrandt_rijks_200107941.png,6.252155,413,0.008046,0.002874,0.001149,0.0,0.003448,0.008333,0.006034,0.002874,0.020977,0.006322,0.00431,0.002299,0.572945,0.274239,12.50431,29.181507,2.0,0.0
rembrandt_rijks_200107942.jpg,4.683019,708,0.005786,0.004025,0.000755,0.0,0.002516,0.004528,0.007296,0.003522,0.01761,0.011069,0.006038,0.003522,0.545396,0.25683,9.366038,7.130454,2.0,0.0
